Reporting Year,Building ID,MapLot,Year Added,Annual Report Received,Report Type,Buildings Included,Parent Building ID,Assessor Address,Address Point GIS,Property Type,Primary Property Type - Self Selected,Year Built,Property GFA - Self Reported (ft2),Grantee,Co_grantee,ENERGY STAR Score,Electricity Use - Grid Purchase (kWh),Electricity Use - Grid Purchase (kBtu),Natural Gas Use (therms),Natural Gas Use (kBtu),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),Kerosene Use (kBtu),District Chilled Water Use (kBtu),District Steam Use (kBtu),Electricity Use - Generated From Onsite Renewable Systems (kWh),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Site EUI (kBtu/ft2),Weather Normalized Site EUI (kBtu/ft2),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Source EUI (kBtu/ft2),Weather Normalized Source EUI (kBtu/ft2),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft2),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft2)
2018,569-2,27-81,2015,Yes,Single,,,194 Fifth St,"210 Bent St
Cambridge, MA",Office,Office,1972,142919,New England Telephone,And Telegraph Company,1,13653227.4,46584817.7,24340.00208,2434000.2,,,,,,649349.9,,,,49668167.8,,347.5,,149487871.2,,1046,,3751.5,26.2,11022,77.12
2018,489-20,121-114,2015,No,Single,,,1008 Massachusetts Ave,"607 Green St
Cambridge, MA",,,,,"Wholey, Joseph S. & Hilary Donovan",,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,703-6,54-28,2015,Yes,Single,,,269 Vassar St,"229 Vassar St
Cambridge, MA
(42.357143817, -71.100984719)",Nonresidential,College/University,2002,191190,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,1893779.6,6461576.8,0,0,,0,,,,,3528011.9,14550082.6,,24539671.2,,128.4,,41321710.2,,216.1,,1777.2,9.3,4937.9,
2017,616-11,91-87,2016,No,Single,,,489 Massachusetts Ave,"485 Massachusetts Ave
Cambridge, MA
(42.364048284, -71.101396777)",Nonresidential,,,,"Justmass LLC,",C/O Lincoln Property Co.,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,568-3,42-87,2015,No,Single,,,191 Broadway,"201 Broadway
Cambridge, MA",,,,,Broadway/Hampshire,Associates Limited Partnership,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,564-1,27-93,2015,No,Single,,,254 Bent St,"250 Bent St
Cambridge, MA",,,,,At&T Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,355-8,168-33,2016,No,Single,,,40 Brattle St,"40 Brattle St
Cambridge, MA
(42.373669202, -71.12127733)",Nonresidential,,,,40 Brattle,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,78-4,267F-283,2016,Yes,Single,,,77 Fawcett St,"77 Fawcett St
Cambridge, MA
(42.391735795, -71.146180107)",Nonresidential,Office,1950,34482,"Cv Portfolio West Cambridge, Llc,",C/O Raytheon Bbn Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,44-1,267.4-316,2016,Yes,Single,,,160 Cambridgepark Dr,"160 Cambridgepark Dr
Cambridge, MA
(42.395065744, -71.147374931)",Residential,Multifamily Housing,2015,546321,Cambridge Park Apartment Ltd Ptshp,C/O Marvin F. Poer & Company,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,371-2,1A-30,2016,No,Single,,,22R Charlestown Ave,"24 East St
Cambridge, MA",,,,,"Dw Np Property, Llc",Divco West,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,111-4,152-25,2015,No,Single,,,822 Somerville Ave,"820 Somerville Ave
Cambridge, MA",,,,,"Cpus Porter SquARE, Lp",C/O Strategic Property Tax Advisors,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,76-21,265B-34,2016,No,Single,,,205 Alewife Brook Pkwy,"205 Alewife Brook Pkwy
Cambridge, MA
(42.389782927, -71.142416685)",Nonresidential,,,,"Alewife Properties LLC,",,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,357-8,160-70,2017,No,,,,28 Jfk St,"18 JFK St
Cambridge, MA",,,,,"Alliara, Llc",,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,387-23,242-38,2015,No,Child,"387-14, 387-22, 387-12, 387-23, 387-21, 387-18, 387-3, 387-6, 387-5, 387-24, 387-10, 387-8, 387-17, 387-25, 387-20, 387-39, 387-32, 387-28",,178 Coolidge Hill,"178 Coolidge Hill
Cambridge, MA",,,,,Shady Hill School,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,554-2,31-21,2015,Yes,Single,,,300 Bent St,"300 Bent St
Cambridge, MA",Data Center,Data Center,1946,90000,"Lohnes, Trustee Paul R.",C.E.M. Realty Trust,,32977.7,112520.1,,,,,,,,,,,,112520.1,112520.1,1.3,112520.1,353313,353313,3.9,353313,8.6,0.1,21.8,0.24
2018,76-31,267F-275,2015,Yes,Child,"76-33, 76-34, 76-31, 76-32",,25-31 Wheeler St,"31 Wheeler St
Cambridge, MA",Multifamily Housing,Multifamily Housing,2008,1,"Coppola, Mark D. Trustee",World 114 Nominee Trust,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,319-8,169-4,2016,No,Single,,,19 Farwell Pl,"0 Garden St
Cambridge, MA
(42.38204481, -71.1267039)",Nonresidential,,,,Christ Church Of Cambridge,C/O Treasurer,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,718-4,100-68,2015,No,Child,"718-3, 718-4",,767 Memorial Dr,"777 Memorial Dr
Cambridge, MA
(42.358738191, -71.115534273)",Nonresidential,Hotel,1965,138000,Cmc9 Owner LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,665-5,92-127,2015,No,Single,,,45-75 Sidney St,"45 Sidney St
Cambridge, MA",,,,,Massachusetts Institute Of Technology,Office Of The Treasurer,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,452-2,34-110,2016,No,Single,,,39 Sixth St,"47 Sixth St
Cambridge, MA
(42.370840918, -71.085018161)",Nonresidential,,,,Roman Catholic Archbishop Of Boston,Corporation Sole,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,69-4,267.4-209,2016,No,Single,,,125 Fawcett St,"135 Fawcett St
Cambridge, MA",,,,,"Belam Realty Llc,",,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,547-3,10-37,2016,No,Single,,,107 First St,"105 First St
Cambridge, MA
(42.367632182, -71.077678543)",Nonresidential,,,,"US Parcel B, Limited Partneship","C/O Urban Spaces, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,
2017,252-9,172-61,2015,No,Single,,,18 Chauncy St,"22 Chauncy St
Cambridge, MA
(42.379407159, -71.123015238)",Residential,,,,"Chauncy Court LLC,",C/O Chestnut Hill Realty Corp,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,46-22,267C-89,2018,No,,,,67 Smith Pl,"67 Smith Pl
Cambridge, MA",,,,,"Sullivan Mechanical Constructing Corp.,",,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,358-7,7-29,2015,No,Single,,,225 Monsignor Obrien Hwy,"225 Monsignor Obrien Hwy
Cambridge, MA",,,,,"Eastman Brook Llc,",,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,104-10,178-21,2017,Yes,Single,,,1924 Massachusetts Ave,"1924 Massachusetts Ave
Cambridge, MA",Hotel,Hotel,2016,27944,"Porter SquARE Hotel, Llc",,67,273156.7,932010.8,14081.16436,1408116.4,,,,,,,,,,2340127.2,2385593.4,83.7,2385593.4,4405036.2,4474496.7,157.6,4474496.7,146.3,5.2,868.9,31.09
2018,380-3,165-57,2018,No,,,,2 Bennett St,"114 Mt Auburn St
Cambridge, MA",,,,,Conductor'S Building Llc,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,608-6,106-124,2016,No,Single,,,596 Massachusetts Ave,"614 Massachusetts Ave
Cambridge, MA
(42.365072228, -71.10328344)",Nonresidential,,,,Cifrino-Massachusetts Avenue,Realty Llc.,,,,,,,,,,,,,,,,,,,,,,,,,,
